Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,e,d,2.00,8.12,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,e,s,0.00,8.77,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,e,l,0.00,10.97,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,s,d,2.00,7.78,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,s,s,0.00,8.69,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.00,0.00,6,s,l,0.00,11.32,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,e,d,2.00,8.59,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,e,s,0.00,9.00,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,s,d,2.00,8.10,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,e,l,0.00,10.99,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,s,s,0.00,8.71,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,e,d,2.00,8.65,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,e,s,0.00,9.15,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.05,0.00,6,s,l,0.00,11.48,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,s,d,2.00,8.02,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,s,s,0.00,8.63,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,e,l,0.00,11.11,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,e,d,2.00,8.42,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,e,s,0.00,8.94,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,s,d,2.00,8.07,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.10,0.00,6,s,l,0.00,10.61,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,s,s,0.00,8.59,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.50,0.00,6,e,d,2.00,8.35,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,e,l,0.00,10.76,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.50,0.00,6,e,s,0.00,8.96,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.50,0.00,6,s,d,2.00,8.40,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.25,0.00,6,s,l,0.00,10.99,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.50,0.00,6,s,s,0.00,9.08,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.75,0.00,6,e,d,2.00,8.66,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.75,0.00,6,e,s,0.00,9.22,0,1
Poolsize,toolcnt,pmut,pxo,goalsize,xof,fof,avgfitnness,avgtime,corrects,case
25000,222,0.50,0.00,6,e,l,0.00,11.14,0,1
